SalePrice,id
126961.09830478828,1461
157139.90802812923,1462
180197.68504314186,1463
199090.87239272223,1464
193331.0876210803,1465
172476.03484016156,1466
170199.3037198896,1467
166852.37984745344,1468
177834.7227117658,1469
123408.36412394159,1470
173766.51617079278,1471
100964.65437776764,1472
103238.30632630973,1473
143143.25800641236,1474
109609.03823177003,1475
352081.65680376766,1476
243568.35389076496,1477
292114.09028334013,1478
296017.22769976425,1479
449159.7028804109,1480
328324.74556509504,1481
213394.1823881922,1482
181674.6235789272,1483
167579.13975684982,1484
196436.71212602497,1485
196874.79785653247,1486
326415.08534422494,1487
224787.02198868612,1488
195743.29810586263,1489
237649.94715805337,1490
197688.57357942653,1491
97043.09207604393,1492
180634.17896942885,1493
275486.90799609426,1494
275528.5087796093,1495
220931.30071707824,1496
170931.13189449036,1497
170635.51993100278,1498
169209.1575729979,1499
166940.07071190854,1500
177754.4575837936,1501
156656.27060499787,1502
259807.2582802674,1503
235546.74425090352,1504
223083.82574514515,1505
188422.2545888755,1506
232216.43396606468,1507
199515.47567198903,1508
156793.5449743428,1509
153488.44124479173,1510
154642.0273610348,1511
173556.61121494535,1512
141655.74214002932,1513
158098.92499297642,1514
178741.12206272694,1515
155035.4108181675,1516
169524.57667177188,1517
136144.04449720433,1518
202293.46371229773,1519
137442.55146831836,1520
136022.1045461168,1521
174622.14182726346,1522
112772.66279433962,1523
117337.91701668299,1524
118897.04840202903,1525
113639.29735399176,1526
116014.96019387187,1527
124851.88424722406,1528
147896.32001810192,1529
188550.2021531408,1530
127484.5078492584,1531
98027.7454397679,1532
145710.58255396312,1533
118636.32771168298,1534
142352.2464698302,1535
111833.43892998513,1536
74242.87608899054,1537
141918.695894715,1538
182688.55356974146,1539
85422.97799870784,1540
137785.55574888256,1541
133973.8489903591,1542
159718.46004502074,1543
88348.70768982155,1544
107640.35613662262,1545
139366.04743103622,1546
133279.0672404581,1547
122257.05344103159,1548
117793.93446473134,1549
134633.9144306216,1550
107061.19755896738,1551
130975.47116721995,1552
135225.98841542468,1553
117894.68921196241,1554
175168.43156016796,1555
91802.24136089341,1556
94455.85761770859,1557
104097.73879415389,1558
75996.82201880025,1559
132504.3722352312,1560
117889.51113551899,1561
141024.37656077018,1562
121907.93623757134,1563
153807.84517643246,1564
156556.32825116263,1565
225571.51710273031,1566
85500.16882976168,1567
248026.31600500373,1568
141043.38339277334,1569
147840.1833587952,1570
121319.29775460984,1571
134985.88028834367,1572
234280.73159039437,1573
118202.03281029382,1574
217699.4027941827,1575
245464.7108758355,1576
187865.60086703967,1577
139999.14331038168,1578
146284.9415603571,1579
192697.5494934641,1580
158854.58171429223,1581
123506.45348493228,1582
274155.0855734036,1583
214287.73094639299,1584
144550.9505086392,1585
80548.67129825178,1586
115840.3293383097,1587
150083.0010505758,1588
100592.67299228074,1589
126311.04775827508,1590
99356.53220417717,1591
118863.59125426017,1592
129603.09524724403,1593
122419.62104333066,1594
112922.14417434197,1595
204417.46321226776,1596
189305.7882276505,1597
212398.20115971184,1598
172507.3644179859,1599
166154.33979644312,1600
72922.7662245635,1601
117911.45140464017,1602
73247.74832523857,1603
267003.46323228825,1604
231505.01675871998,1605
157586.14125603152,1606
156904.5400964266,1607
228942.53244891632,1608
184552.0005984067,1609
159568.8919531964,1610
149009.5888669779,1611
176710.57231312603,1612
168525.7935452387,1613
126007.55594538964,1614
95048.53724834802,1615
83543.87864687068,1616
96002.79365692641,1617
124344.8885684516,1618
144122.11110477409,1619
